"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"IFI6" 568.423709135488 2.05609681958751 0.389705219972603 5.27603099525343 1.32011769609382e-07 4.31768747557879e-07
"STX12" 325.167784173554 1.35863422515889 0.149640339833403 9.07933132650919 1.0924391190487e-19 1.06956936552843e-18
"PTAFR" 259.150295960865 2.49753090589683 0.307327287830958 8.1266161671611 4.41440431955889e-16 3.29852351295998e-15
"SESN2" 446.441708329947 3.23491220074231 0.128704444403935 25.1344249666284 2.09187802136734e-139 5.61910619278057e-137
"SNRNP40" 429.732364862329 -1.07694468911638 0.115261864253901 -9.3434606154214 9.32358220124862e-21 9.89603314491191e-20
"SERINC2" 1593.84823058783 1.1112075489073 0.138515029383979 8.02228865596175 1.03792880711343e-15 7.5196004034027e-15
"TMEM39B" 101.786783236389 -1.48279547222388 0.207173843721555 -7.15725231326393 8.23101210873779e-13 4.66097745141282e-12
"ZNF362" 155.372673225303 -1.32414450372054 0.175042313371759 -7.56471094453767 3.88728037425909e-14 2.49223679319084e-13
"CLSPN" 260.139495399695 -1.91623267974417 0.169659726469969 -11.2945642411097 1.39594703738331e-29 2.38563477383811e-28
"SH3D21" 85.1658928691784 1.36780282982129 0.271153630542278 5.04438324165468 4.54986557928283e-07 1.39860304602603e-06
"EVA1B" 71.5570620524163 -1.64189969132871 0.279522580749277 -5.87394294560212 4.25549884462504e-09 1.64322174332075e-08
"ZC3H12A" 552.422957185659 -1.14275697789348 0.138940007096096 -8.22482308571575 1.95479175526591e-16 1.50687258485399e-15
"CDCA8" 320.118202169533 -3.52259727701593 0.216412133056265 -16.2772633274683 1.43128097878257e-59 7.35004879104223e-58
"YRDC" 215.694346315324 1.42205585747855 0.154639337256761 9.19595157807345 3.71690024414171e-20 3.76214946450517e-19
"RLF" 308.68559556693 1.22820195155344 0.15787777313965 7.77944815871608 7.28415870464889e-15 4.94869303436458e-14
"RIMS3" 74.0238865112499 -1.0344795271342 0.206265518247571 -5.01528096369727 5.29560227020051e-07 1.6141032697882e-06
"NFYC" 385.359615747883 -1.24601441744533 0.135754777076337 -9.17842041569318 4.37461087589441e-20 4.3981212606401e-19
"CITED4" 353.787671098217 -2.22097522548426 0.197020474135039 -11.2728143368592 1.78762983112958e-29 3.01565380207946e-28
"SLFNL1-AS1" 29.009913961441 -2.03399914384078 0.379882377388202 -5.35428665531972 8.58945983789394e-08 2.87474196518033e-07
"PPIH" 351.796621016903 -1.05105244588967 0.144287876175169 -7.28441275699188 3.23074464576396e-13 1.89397207101417e-12
"CDC20" 820.549247046462 -4.24363018062058 0.169494315854045 -25.0370058679423 2.41856923161429e-138 6.17973933424179e-136
"DPH2" 269.347071403352 -1.75401308810034 0.150518719640089 -11.6531225637211 2.21202077484496e-31 4.19803073139054e-30
"CCDC24" 121.159198421413 -1.45521809020906 0.216411817803134 -6.72430047943518 1.76437999143329e-11 8.85232030184633e-11
"KIF2C" 518.315023248997 -4.42279282668872 0.206666338144895 -21.4006444706437 1.31774039838784e-101 1.7698267196809e-99
"MUTYH" 97.3023877214044 -2.72148295151625 0.290057487155398 -9.38256405034019 6.43875274765735e-21 6.91819218302137e-20
"NASP" 1433.85953390404 -1.195557897629 0.102386507006229 -11.6769087313063 1.67268526868762e-31 3.2034827924628e-30
"PIK3R3" 204.678299412807 1.21257642922328 0.168478654399116 7.19721102680912 6.1456611839011e-13 3.51621772597203e-12
"TSPAN1" 1044.53442189449 2.44070325965878 0.29699749236054 8.21792547896628 2.07053555182509e-16 1.59492135594997e-15
