"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"PABPC4" 1118.52443419544 -1.27117499258982 0.104768540208125 -12.1331746158208 7.0463806884986e-34 6.61020596914838e-33
"TRIT1" 247.66635963775 1.31631677405151 0.126955898422667 10.3682994678134 3.45620389381088e-25 2.30770428131001e-24
"PPT1" 614.863118234182 -1.85124649940932 0.123628888896696 -14.9742225779948 1.0822595864162e-50 1.73473566180793e-49
"RLF" 1128.94387896732 4.72468413287179 0.175731679222706 26.8857849294444 3.22053154580704e-159 4.25230933979497e-157
"RIMS3" 64.4207274390429 -1.52643090943521 0.250869710407443 -6.08455642953508 1.16814255913334e-09 3.23605818309086e-09
"CITED4" 274.445716269324 -1.62867643869108 0.230810192076474 -7.05634540675509 1.70938615841802e-12 5.77245715836622e-12
"CTPS1" 1233.797514074 -1.53508517443492 0.12530761679302 -12.2505336365189 1.66894105437914e-34 1.59538681967483e-33
"SLFNL1-AS1" 33.5555375415933 -3.30446514152598 0.462745736448913 -7.14099532690302 9.2657502304961e-13 3.1901603547826e-12
"FOXJ3" 755.143258251368 1.55518609784009 0.0951881479362317 16.3380224487816 5.29423540825961e-60 1.08377923677221e-58
"PPIH" 228.021299438237 -1.26537537557439 0.201675229990334 -6.27432221416104 3.51160622010368e-10 1.01319575260735e-09
"EBNA1BP2" 854.908110615097 -1.03052911816519 0.123227282786499 -8.36283244150294 6.12301470757372e-17 2.72785341021093e-16
"CDC20" 443.800863145119 -2.69324959451615 0.198882298678813 -13.5419271217578 8.84379648638648e-42 1.05081014944545e-40
"ATP6V0B" 618.200391559336 1.1417570160711 0.132714030145862 8.60313724793248 7.75661276599033e-18 3.65446479246904e-17
"CCDC24" 84.6999488453901 -1.18193298832565 0.284938437681509 -4.14802930044405 3.35349487724827e-05 6.38827166607276e-05
"SLC6A9" 138.122424870898 -1.41500925888395 0.21918212419306 -6.45586068705853 1.07605564710402e-10 3.2090276116205e-10
"DMAP1" 139.372956111668 -1.0683104377692 0.214549687465503 -4.97931481695108 6.38097747012913e-07 1.4237909805022e-06
"ERI3" 258.017295108223 -1.26148360339794 0.170642221278534 -7.39256436036931 1.44023746831214e-13 5.25863407458733e-13
"KIF2C" 273.818413845226 -3.85433174749169 0.296206979615412 -13.0122921225424 1.04169933794102e-38 1.13204424965751e-37
"PLK3" 297.034393317827 2.19991290925742 0.141973348302628 15.4952527045296 3.73489385419096e-54 6.69807874054654e-53
"BTBD19" 38.0805437490395 1.15927886467158 0.314856305656377 3.68192995930269 0.000231475010386541 0.000403343869137748
"EIF2B3" 147.431657002955 -1.13471635640378 0.222934287155032 -5.08991403199761 3.58225882142202e-07 8.18149187690396e-07
"MUTYH" 78.9855478535776 -2.31885226911652 0.356576395919388 -6.50310086605047 7.86809999648821e-11 2.36715295536613e-10
"PRDX1" 6241.21466300082 -1.90203866789638 0.110723667140949 -17.1782484902267 3.86402620339437e-66 9.31865497407643e-65
"AKR1A1" 442.190025226297 -1.82038850778465 0.16387121742114 -11.1086531023099 1.13863979822962e-28 8.89604451826888e-28
"GPBP1L1" 988.303937027858 1.27726608191736 0.0903714307453221 14.1335162161686 2.36057105043968e-45 3.18044795992275e-44
"PIK3R3" 139.746146156573 3.17382927828489 0.271660241822395 11.6830834611414 1.55548638132058e-31 1.33908742020288e-30
"TSPAN1" 770.913869570689 1.28232720428672 0.424022899700362 3.02419328105364 0.0024929711393179 0.00386571552328464
"PDZK1IP1" 1017.20857318446 -1.71177984996173 0.157140289133757 -10.8933225170833 1.24031067247686e-27 9.2983687958645e-27
"STIL" 267.268463766498 -1.53191686167818 0.18465966901593 -8.29589303306954 1.07772479043269e-16 4.72757764175268e-16
"SPATA6" 26.8167936908884 -1.14399354219827 0.376329917244305 -3.03986871566105 0.00236681294458568 0.00368198013750494
"CDKN2C" 128.223519095515 1.86544833157897 0.215002351785639 8.67640896058128 4.08461438606204e-18 1.94525616591404e-17
"RNF11" 678.86168961102 1.78583765891499 0.160389877316643 11.1343539180429 8.5361731507872e-29 6.7188969442448e-28
"TTC39A" 87.5108346006528 -1.42810356697046 0.273510810977902 -5.22137886200718 1.7759578567567e-07 4.1650627977178e-07
"RAB3B" 229.139755547274 -1.77876349618655 0.153291607335866 -11.6037891904234 3.94228048301946e-31 3.34207935330133e-30
"TXNDC12" 571.784135703955 -1.57394082388196 0.15047673628673 -10.4596953836296 1.32280245819465e-25 9.02633227771967e-25
"PRPF38A" 399.883132224374 2.11222157077728 0.114271224370512 18.4842823065292 2.76351399358981e-76 8.51049513536128e-75
"ECHDC2" 98.6584537940797 -1.21705512365683 0.267726951383144 -4.54588197926739 5.47056856402143e-06 1.12730424779084e-05
"SCP2" 633.343605868406 -1.40561959439574 0.154330255113285 -9.10786801566524 8.40166880958482e-20 4.38906170304869e-19
"C1orf123" 192.627888077212 -1.50243841638279 0.191030760808218 -7.86490306601004 3.69383364849087e-15 1.48244547222679e-14
"HSPB11" 173.714173376588 -1.18035780016638 0.199342901921581 -5.92124318843677 3.19516959549258e-09 8.58793293567128e-09
"MRPL37" 602.906823912913 -1.32880397333357 0.124098122643067 -10.7076879571781 9.36719879883173e-27 6.71729266205428e-26
"PCSK9" 354.430970321811 -1.53491628133479 0.276627049583139 -5.54868471339959 2.87826689276036e-08 7.20795002091695e-08
"PRKAA2" 234.655367070236 1.14752366471988 0.182086761954929 6.30207079526146 2.93694953052598e-10 8.52046083244876e-10
"OMA1" 137.675131855387 -1.67980924972366 0.263906669913297 -6.36516405695825 1.95081107732402e-10 5.71923880371181e-10
"MYSM1" 476.130260497075 1.954712489302 0.150938127121833 12.950422312609 2.33665066669783e-38 2.51088921590327e-37
"JUN" 4045.82399927158 2.3474302726584 0.159049265480219 14.7591393495014 2.68687650415309e-49 4.09545115633032e-48
"FGGY" 55.6039545796887 -1.74005549381647 0.376668646725012 -4.61959207103001 3.8449523417645e-06 8.02018791193887e-06
"HOOK1" 102.326573504632 -1.37614435952452 0.451663294412413 -3.04683682856009 0.00231263212111607 0.00360672273665275
"ATG4C" 84.977270264371 -1.35805878262566 0.26723960614478 -5.08180206600781 3.73870885463434e-07 8.52222305384173e-07
"ALG6" 91.5081450685763 -1.73919885435473 0.26786559570389 -6.49280416092448 8.42531841134162e-11 2.53263057424592e-10
"AK4" 483.427875952572 1.97976516943008 0.254048851978549 7.79285225660947 6.5513209712128e-15 2.58891146348376e-14
"PDE4B" 611.678622649402 1.66106385279973 0.105757086776539 15.7064070449435 1.36710524057934e-55 2.5290249835796e-54
